from,to
MatthiasPlatzeck,ZDFVerwaltungsrat
MatthiasPlatzeck,FlughafenBerlinBrandenburgGmbH
MatthiasPlatzeck,DasDeutschRussischeForum
MatthiasPlatzeck,Bundestag
RonaldPofalla,CDUCSUBundestagsfraktion
RonaldPofalla,CDUKreisverbandKleve
RonaldPofalla,CDUBundesvorstand
RonaldPofalla,Bundestag
RonaldPofalla,Deutsche Bahn
RonaldPofalla,CDUBezirksvorstand
RonaldPofalla,CDULandesvorstand
RonaldPofalla,GemeinderatWeeze
BarbaraPraetorius,VerbandKommunalerUnternehmen
BarbaraPraetorius,ThinktanksAgoraEnergiewende
BarbaraPraetorius,AgoraEnergiewende
BarbaraPraetorius,HTWBerlin
StanislawTillich,BraunkohleUnternehmenMIBRAG
StanislawTillich,Bundestag
StanislawTillich,RatDesKreisesKamenz
StanislawTillich,ViertesEuropaeischesParlament
GerdaHasselfeldt,Bundestag
GerdaHasselfeldt,CSULandesgruppe
GerdaHasselfeldt,DRK
GerdaHasselfeldt,FrauenUnion
SteffenKampeter,Bundestag
SteffenKampeter,Bundesfinanzministerium
SteffenKampeter,StiftungsratderKulturstiftung
SteffenKampeter,Bundesfinanzministerium
SteffenKampeter,BundesvereinigungDeutschenArbeitgeberverbaende
SteffenKampeter,KuratoriumDerDeutschenBundesstiftungUmwelt
SteffenKampeter,InitiativeMusikGmbH
SteffenKampeter,KulturakademieTarabya
SteffenKampeter,DeutscheBahn
StefanKapferer,FDP
StefanKapferer,BundesverbandEnergieundWasserwirtschaft
StefanKapferer,NiedersaechsischesMinisteriumfürWirtschaftArbeitundVerkehr
StefanKapferer,BundesministeriumFuerGesundheit
StefanKapferer,DeutscheEnergieAgentur
StefanKapferer,OrganisationenFuerWirtschaftlicheZusammenarbeitundEntwicklung
DieterKempf,BundesverbandDeutschenEnergie
DieterKempf,DATEVeG
DieterKempf,ErnstundYoung
DieterKempf,Bitkom
DieterKempf,AllianzFuerCybersicherheit
DieterKempf,DsiN
DieterKempf,nationalerCyberSicherheitsrat
DieterKempf,GVB
DieterKempf,DeutscheAG
DieterKempf,internationalerCyberSicherheitsrat
DieterKempf,DeutscheMesseAG
ClaudiaNemat,Telekom
ClaudiaNemat,McKinsey
ClaudiaNemat,LanxessAG
ClaudiaNemat,AirbusSE
KatherinaReiche,EON
KatherinaReiche,Verkehrsministerium
KatherinaReiche,VerbandKommunalerUnternehmen
KatherinaReiche,Bundestag
KatherinaReiche,FrauenUnion
GundaRoestel,NeueForum
GundaRoestel,EnBW
GundaRoestel,GelsenwasserAG
GundaRoestel,StadtentwaesserungDresdenGmbH
EricSchweitzer,IHKBerlin
EricSchweitzer,BDE
EricSchweitzer,EnergiekonzernAlba
EricSchweitzer,FAED
EricSchweitzer,RNE
EricSchweitzer,BerlinPartnerGmbH
EricSchweitzer,TraegervereinESCPEuropeWirtschaftshochschuleBerlin
AntjeGrothus,BuirerfuerBuir
AntjeGrothus,KlimaAllianzDeutschland
HanneloreWodtke,GrueneZukunftWelzow
HanneloreWodtke,CDU
ChristineHerntier,GemeindeSpremberg
MichaelKreuzberg,CDU
MichaelKreuzberg,KreissparkasseKoeln
MichaelKreuzberg,ZukunftsagenturRheinischesRevier
MichaelKreuzberg,MetropolregionRheinland
MichaelKreuzberg,ZweckverbandNaturparkRheinland
ReinerPriggen,LandesverbandLippe
ReinerPriggen,LEENRW
ReinerPriggen,LandtagNordrheinWestfalen
MichaelVassiliadis,StiftungNeueVerantwortung
MichaelVassiliadis,IGBergbauChemieEnergie
MichaelVassiliadis,IGChemiePapierKeramik 
