id,type,sex,age,representation,party,position,state
MatthiasPlatzeck,0,1,4,1,2,1,2
RonaldPofalla,0,1,4,1,1,1,1
BarbaraPraetorius,0,2,3,1,5,1,9
StanislawTillich,0,1,4,1,1,1,4
GerdaHasselfeldt,0,2,4,1,1,2,3
SteffenKampeter,0,1,3,3,1,2,1
StefanKapferer,0,1,3,3,3,2,5
DieterKempf,0,1,4,3,5,2,3
ClaudiaNemat,0,2,3,3,5,2,1
KatherinaReiche,0,2,2,3,1,2,2
GundaRoestel,0,2,3,3,4,2,4
EricSchweitzer,0,1,3,3,3,2,9
AntjeGrothus,0,2,3,6,5,2,1
HanneloreWodtke,0,2,4,6,1,2,2
ChristineHerntier,0,2,4,6,5,2,2
MichaelKreuzberg,0,1,4,6,1,2,1
ReinerPriggen,0,1,4,6,4,2,1
MichaelVassiliadis,0,1,3,2,2,2,1
AndreasScheidt,0,1,3,2,2,2,1
StefanKoerzell,0,1,3,2,2,2,8
MartinKaiser,0,1,3,4,5,2,10
HubertWeiger,0,1,4,4,5,2,3
KaiNiebert,0,1,1,4,5,2,7
JuttaAllmendinger,0,2,4,5,5,2,5
FelixMatthes,0,1,3,5,5,2,9
HansJoachimSchellnhuber,0,1,4,5,5,2,3
AnnikaNiebuhr,0,2,3,5,5,2,6
RalfBWehrspohn,0,1,2,5,5,2,6
AndreasLaemmel,0,1,3,1,1,3,4
AndreasLenz,0,1,1,1,1,3,3
MatthiasMiersch,0,1,2,1,2,3,7
DeutscheBahn,1,NA,0,7,6,NA,NA
ThinktanksAgoraEnergiewende,1,NA,0,7,6,NA,NA
DRK,1,NA,0,7,6,NA,NA
FDP,1,NA,0,7,3,NA,NA
BundesvereinigungDeutschenArbeitgeberVerbaende,1,NA,0,7,6,NA,NA
BundesverbandEnergieundWasserwirtschaft,1,NA,0,7,6,NA,NA
BundesverbandDeutschenEnergie,1,NA,0,7,6,NA,NA
Telekom,1,NA,0,7,6,NA,NA
McKinsey,1,NA,0,7,6,NA,NA
Verkehrsministerium,1,NA,0,7,6,NA,NA
EnergiekonzernAlba,1,NA,0,7,6,NA,NA
ParlamentarischerBeiratNachhaltigeEntwicklung,1,NA,0,7,6,NA,NA
ParlamentskreisMittelstand,1,NA,0,7,6,NA,NA
UniKiel,1,NA,0,7,6,NA,NA
Oekoinstitut,1,NA,0,7,6,NA,NA
DeutscheGesellschaftSoziologie,1,NA,0,7,6,NA,NA
BuirerfuerBuir,1,NA,0,7,6,NA,NA
GrueneZukunftWelzow,1,NA,0,7,6,NA,NA
EnBW,1,NA,0,7,6,NA,NA
ZDFVerwaltungsrat,1,NA,0,7,6,NA,NA
FlughafenBerlinBrandenburgGmbH,1,NA,0,7,6,NA,NA
DasDeutschRussischeForum,1,NA,0,7,6,NA,NA
Bundestag,1,NA,0,7,1,NA,NA
CDUCSUBundestagsfraktion,1,NA,0,7,1,NA,NA
CDUKreisverbandKleve,1,NA,0,7,1,NA,NA
CDUBundesvorstand,1,NA,0,7,1,NA,NA
CDUBezirksvorstand,1,NA,0,7,1,NA,NA
CDULandesvorstand,1,NA,0,7,1,NA,NA
GemeinderatWeeze,1,NA,0,7,6,NA,NA
VerbandKommunalerUnternehmen,1,NA,0,7,6,NA,NA
AgoraEnergiewende,1,NA,0,7,6,NA,NA
HTWBerlin,1,NA,0,7,6,NA,NA
BraunkohleUnternehmenMIBRAG,1,NA,0,7,6,NA,NA
RatDesKreisesKamenz,1,NA,0,7,6,NA,NA
ViertesEuropaeischesParlament,1,NA,0,7,6,NA,NA
CSULandesgruppe,1,NA,0,7,1,NA,NA
FrauenUnion,1,NA,0,7,1,NA,NA
Bundesfinanzministerium,1,NA,0,7,6,NA,NA
StiftungsratderKulturstiftung,1,NA,0,7,6,NA,NA
KuratoriumDerDeutschenBundesstiftungUmwelt,1,NA,0,7,6,NA,NA
InitiativeMusikGmbH,1,NA,0,7,6,NA,NA
KulturakademieTarabya,1,NA,0,7,6,NA,NA
NiedersaechsischesMinisteriumfürWirtschaftArbeitundVerkehr,1,NA,0,7,6,NA,NA
BundesministeriumFuerGesundheit,1,NA,0,7,6,NA,NA
DeutscheEnergieAgentur,1,NA,0,7,6,NA,NA
OrganisationenFuerWirtschaftlicheZusammenarbeitundEntwicklung,1,NA,0,7,6,NA,NA
DATEVeG,1,NA,0,7,6,NA,NA
ErnstundYoung,1,NA,0,7,6,NA,NA
Bitkom,1,NA,0,7,6,NA,NA
AllianzFuerCybersicherheit,1,NA,0,7,6,NA,NA
DsiN,1,NA,0,7,6,NA,NA
nationalerCyberSicherheitsrat,1,NA,0,7,6,NA,NA
GVB,1,NA,0,7,6,NA,NA
DeutscheAG,1,NA,0,7,6,NA,NA
internationalerCyberSicherheitsrat,1,NA,0,7,6,NA,NA
DeutscheMesseAG,1,NA,0,7,6,NA,NA
LanxessAG,1,NA,0,7,6,NA,NA
AirbusSE,1,NA,0,7,6,NA,NA
EON,1,NA,0,7,6,NA,NA
NeueForum,1,NA,0,7,6,NA,NA
GelsenwasserAG,1,NA,0,7,6,NA,NA
StadtentwaesserungDresdenGmbH,1,NA,0,7,6,NA,NA
IHKBerlin,1,NA,0,7,6,NA,NA
BDE,1,NA,0,7,6,NA,NA
FAED,1,NA,0,7,6,NA,NA
RNE,1,NA,0,7,6,NA,NA
BerlinPartnerGmbH,1,NA,0,7,6,NA,NA
TraegervereinESCPEuropeWirtschaftshochschuleBerlin,1,NA,0,7,6,NA,NA
KlimaAllianzDeutschland,1,NA,0,7,6,NA,NA
CDU,1,NA,0,7,1,NA,NA
GemeindeSpremberg,1,NA,0,7,6,NA,NA
KreissparkasseKoeln,1,NA,0,7,6,NA,NA
ZukunftsagenturRheinischesRevier,1,NA,0,7,6,NA,NA
MetropolregionRheinland,1,NA,0,7,6,NA,NA
ZweckverbandNaturparkRheinland,1,NA,0,7,6,NA,NA
LandesverbandLippe,1,NA,0,7,6,NA,NA
LandtagNordrheinWestfalen,1,NA,0,7,6,NA,NA
StiftungNeueVerantwortung,1,NA,0,7,6,NA,NA
IGChemiePapierKeramik,1,NA,0,7,6,NA,NA
EthikkommissionFuerSichereEnergieversorgung,1,NA,0,7,6,NA,NA
InnovationsforumEnergiewende,1,NA,0,7,6,NA,NA
DeutscheAkademiederTechnikwissenschaft,1,NA,0,7,6,NA,NA
BonnerAkademieFuerForschungundLehrepraktischerPolitik,1,NA,0,7,6,NA,NA
InitiativkreisRuhr,1,NA,0,7,6,NA,NA
CSRForumderBundesregierung,1,NA,0,7,6,NA,NA
CAREDeutschland,1,NA,0,7,6,NA,NA
WuppertalerStadtwerkeGmbH,1,NA,0,7,6,NA,NA
AgenturFuerArbeit,1,NA,0,7,6,NA,NA
AOKHessen,1,NA,0,7,6,NA,NA
DeutscheRentenversicherung,1,NA,0,7,6,NA,NA
HessischerRundfunk,1,NA,0,7,6,NA,NA
Greenpeace,1,NA,0,7,6,NA,NA
StiftungOekologieundLandbau,1,NA,0,7,6,NA,NA
BayerischeAkademieLaendlicherRaum,1,NA,0,7,6,NA,NA
BayerischesStaatsministeriumFuerUmweltGesundheitundVerbraucherschutz,1,NA,0,7,6,NA,NA
VereinigungDeutscherWissenschaftler,1,NA,0,7,6,NA,NA
DeutscheBundesstiftungUmwelt,1,NA,0,7,6,NA,NA
MaxPlanckInstitutFuerBildungsforschung,1,NA,0,7,6,NA,NA
InstitutFuerArbeitsmarktundBerufsforschung,1,NA,0,7,6,NA,NA
FreieUniversitaetBerlin,1,NA,0,7,6,NA,NA
EnqueteKommissionNachhaltigeEnergieversorgungunterdenBedingungenderGlobalisierungundLiberalisierung,1,NA,0,7,6,NA,NA
PotsdamInstitutFuerKlimafolgenforschung,1,NA,0,7,6,NA,NA
StockholmResilienceCentre,1,NA,0,7,6,NA,NA
UniversitaetPotsdam,1,NA,0,7,6,NA,NA
BundesregierungFuerGlobaleUmweltveraenderungen,1,NA,0,7,6,NA,NA
WeltklimaratIPCC,1,NA,0,7,6,NA,NA
HamburgischesWeltWirtschaftsArchiv,1,NA,0,7,6,NA,NA
MartinLutherUniversitaetHalleWittenberg,1,NA,0,7,6,NA,NA
MaxPlanckInstitutFuerMikrostrukturphysik,1,NA,0,7,6,NA,NA
ZukunftsstiftungdesLandesSachsenAnhalt,1,NA,0,7,6,NA,NA
FrauenhoferCenterFuerSiliziumphotovoltaik,1,NA,0,7,6,NA,NA
SmartMembranesGmbH,1,NA,0,7,6,NA,NA
FrauenhoferPilotanlagenzentrumFuerPolymerverarbeitung,1,NA,0,7,6,NA,NA
FrauenhoferGesellschaft,1,NA,0,7,6,NA,NA
SaechsischesStaatsministeriumFuerWirtschaftArbeitundVerkehr,1,NA,0,7,6,NA,NA
WirtschaftsfoerderungSachenGmbH,1,NA,0,7,6,NA,NA
MittelstandsundWirtschaftsvereinigung,1,NA,0,7,6,NA,NA
JungeUnion,1,NA,0,7,1,NA,NA
EuropaUnionDeutschland,1,NA,0,7,6,NA,NA
AusschussFuerUmweltNaturschutzundReaktiorsicherheit,1,NA,0,7,6,NA,NA
LEENRW,1,NA,0,7,6,NA,NA
IGBergbauChemieEnergie,1,NA,0,7,6,NA,NA
Verdi,1,NA,0,7,6,NA,NA
DeutscherGewerkschaftsbund,1,NA,0,7,6,NA,NA
BundfuerUmweltundNaturschutz,1,NA,0,7,6,NA,NA
RatfuerNachhaltigeEntwicklung,1,NA,0,7,6,NA,NA
NaturfreundeDeutschland,1,NA,0,7,6,NA,NA
DachverbandDeutscherNaturschutzring,1,NA,0,7,6,NA,NA
WZB,1,NA,0,7,6,NA,NA
HumboldtUniBerlin,1,NA,0,7,6,NA,NA
