id,name,type,sex,age,representation,party,position,state
MatthiasPlatzeck,Matthias Platzeck,0,1,4,1,2,1,2
RonaldPofalla,Ronald Pofalla,0,1,4,1,1,1,1
BarbaraPraetorius,Barbara Praetorius,0,2,3,4,6,1,9
StanislawTillich,Stanislaw Tillich,0,1,4,1,1,1,4
GerdaHasselfeldt,Gerda Hasselfeldt,0,2,4,1,1,2,3
SteffenKampeter,Steffen Kampeter,0,1,3,3,1,2,1
StefanKapferer,Stefan Kapferer,0,1,3,3,3,2,5
DieterKempf,Dieter Kempf,0,1,4,3,6,2,3
ClaudiaNemat,Claudia Nemat,0,2,3,3,6,2,1
KatherinaReiche,Katherina Reiche,0,2,2,3,1,2,2
GundaRoestel,Gunda Roestel,0,2,3,3,4,2,4
EricSchweizer,Eric Schweizer,0,1,3,3,3,2,9
AntjeGrothus,Antje Grothus,0,2,3,6,5,2,1
HanneloreWodtke,Hannelore Wodtke,0,2,4,6,1,2,2
ChristineHerntier,Christine Herntier,0,2,4,6,6,2,2
MichaelKreuzberg,Michael Kreuzberg,0,1,4,6,1,2,1
ReinerPriggen,Reiner Priggen,0,1,4,6,4,2,1
MichaelVassiliadis,Michael Vassiliadis,0,1,3,2,2,2,1
AndreasScheidt,Andreas Scheidt,0,1,3,2,2,2,1
StefanKeorzel,Stefan Keorzel,0,1,3,2,2,2,8
MartinKaiser,Martin Kaiser,0,1,3,4,6,2,10
HubertWeiger,Hubert Weiger,0,1,4,4,6,2,3
KaiNiebert,Kai Niebert,0,1,1,4,6,2,7
JuttaAllmendinger,Jutta Allmendinger,0,2,4,5,6,2,5
FelixMatthes,Felix Matthes,0,1,3,5,6,2,9
HansJoachimSchellnhuber,Hans Joachim Schellnhuber,0,1,4,5,6,2,3
AnnekatrinNiebuhr,Annekatrin Niebuhr,0,2,3,5,6,2,6
RalfWehrspohn,Ralf Wehrspohn,0,1,2,5,6,2,6
AndreasLaemmel,Andreas Laemmel,0,1,3,1,1,3,4
AndreasLenz,Andreas Lenz,0,1,1,3,1,3,3
MatthiasMiersch,Matthias Miersch,0,1,2,4,2,3,7
SPD,SPD,1,99,0,99,2,99,99
ZDF,ZDF Verwaltungsrat,1,99,0,99,6,99,99
FlughafenBerlinBrandenburgGmbH,Flughafen Berlin Brandenburg GmbH,1,99,0,99,6,99,99
DeutschRussischeForum,Das Deutsch Russische Forum,1,99,0,99,6,99,99
DeutscherBundestag,Deutscher Bundestag,1,99,0,99,1,99,99
DeutscheBahn,Deutsche Bahn,1,99,0,99,6,99,99
Bundeskanzleramt,Bundeskanzleramt,1,99,0,99,6,99,99
CDU,CDU,1,99,0,99,1,99,99
GemeinderatWeeze,Gemeinderat Weeze,1,99,0,99,6,99,1
HTWBerlin,Hochschule fuer Technik und Wirtschaft Berlin,1,99,0,99,6,99,9
VerbandkommunalerUnternehmen,Verband kommunaler Unternehmen,1,99,0,99,6,99,99
AgoraEnergiewende,Agora Energiewende,1,99,0,99,6,99,99
MIBRAG,Braunkohle Unternehmen MIBRAG,1,99,0,99,6,99,99
RKK,Rat des Kreises Kamenz,1,99,0,99,6,99,99
EP,Europaeisches Parlament,1,99,0,99,6,99,99
CSU,CSU,1,99,0,99,1,99,99
DRK,Deutsches Rotes Kreuz,1,99,0,99,6,99,99
FrauenUnion,Frauen Union,1,99,0,99,1,99,99
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,1,99,0,99,6,99,99
StiftungsratderKulturstiftung,Stiftungsrat der Kulturstiftung,1,99,0,99,6,99,99
InitiativeMusik,Initiative Musik gGmbH,1,99,0,99,6,99,99
Bundesfinanzministerium,Bundesfinanzministerium,1,99,0,99,6,99,99
KulturakademieTarabya,Kulturakademie Tarabya,1,99,0,99,6,99,99
FDP,FDP,1,99,0,99,3,99,99
BDEW,Bundesverband der Energie und Wasserwirtschaft,1,99,0,99,6,99,99
DEA,Deutsche Energie Agentur,1,99,0,99,6,99,99
BundesministeriumfuerGesundheit,Bundesministerium fuer Gesundheit,1,99,0,99,6,99,99
BDI,Bundesverband der Deutschen Industrie,1,99,0,99,6,99,99
DATEV,DATEV eG,1,99,0,99,6,99,99
DsiN,Deutschland sicher im Netz,1,99,0,99,6,99,99
GVB,Genossenschaftsverband Bayern,1,99,0,99,6,99,3
DeutscheMesse,Deutsche Messe AG,1,99,0,99,6,99,99
CyberSicherheitsrat,nationaler Cyber Sicherheitsrat,1,99,0,99,6,99,99
Bitkom,Bitkom,1,99,0,99,6,99,99
Telekom,Deutsche Telekom AG,1,99,0,99,6,99,99
McKinsey,McKinsey,1,99,0,99,6,99,99
Lanxess,Lanxess AG,1,99,0,99,6,99,99
Airbus,Airbus SE,1,99,0,99,6,99,99
EON,EON SE,1,99,0,99,6,99,99
DieGruenen,Die Gruenen,1,99,0,99,4,99,99
SD,Stadtentwaesserung Dresden GmbH,1,99,0,99,6,99,4
EnBW,EnBW,1,99,0,99,6,99,5
Gelsenwasser,Gelsenwasser AG,1,99,0,99,6,99,99
NeuesForum,Neues Forum,1,99,0,99,6,99,99
DIHT,Deutscher Industrie und Handelskammertag,1,99,0,99,6,99,99
IHKBerlin,Industrie und Handelskammer Berlin,1,99,0,99,6,99,9
FEAD,Europaeische Foederation der Entsorgungswirtschaft,1,99,0,99,6,99,99
BerlinPartner,Berlin Partner GmbH,1,99,0,99,6,99,9
RNE,Rat fuer Nachhaltige Entwicklung,1,99,0,99,6,99,99
Tierschutzpartei,Tierschutzpartei,1,99,0,99,5,99,99
BfB,Buirer fuer Buir,1,99,0,99,6,99,99
KlimaAllianzDeutschland,Klima Allianz Deutschland,1,99,0,99,6,99,99
GZW,Gruene Zukunft Welzow,1,99,0,99,6,99,99
SprembergerTuche,Spremberger Tuche GmbH,1,99,0,99,6,99,99
KreissparkasseKoeln,Kreissparkasse Koeln,1,99,0,99,6,99,1
MetropolregionRheinland,Metropolregion Rheinland eV,1,99,0,99,6,99,99
NaturparkRheinland,Naturpark Rheinland,1,99,0,99,6,99,99
